sample,date,time,ID,neo_nmol_SG,datetime1,group,sex,age,repro,max_t_days1,max_t_days10,max_t_days11,max_t_days12,max_t_days13,max_t_days14,max_t_days15,max_t_days16,max_t_days17,max_t_days18,max_t_days19,max_t_days2,max_t_days20,max_t_days21,max_t_days28,max_t_days3,max_t_days35,max_t_days5,max_t_days7,max_t_days9,min_t_days1,min_t_days10,min_t_days11,min_t_days12,min_t_days13,min_t_days14,min_t_days15,min_t_days16,min_t_days17,min_t_days18,min_t_days19,min_t_days2,min_t_days20,min_t_days21,min_t_days28,min_t_days3,min_t_days35,min_t_days5,min_t_days7,min_t_days9,rain_days1,rain_days2,rain_days3,rain_days4
517,2022-11-23,11:20:00,MIS,504.8910106508902,2022-11-23T11:20:00Z,Mesas,F,3.9,juv,26.40046875,27.08311553030303,27.041024305555556,26.937395833333333,26.86034970238095,26.765138888888888,26.68033203125,26.510661764705883,26.380052083333332,26.29652960526316,26.2480625,26.72479166666667,26.236512896825396,26.26635890151515,26.538200431034483,26.862005208333333,26.652416087962962,27.030208333333334,27.235716145833333,27.109072916666666,25.9228125,26.58092803030303,26.541501736111112,26.441770833333333,26.36468005952381,26.270722222222222,26.184309895833334,26.024258578431372,25.90394675925926,25.824649122807017,25.77896875,26.239618055555557,25.766989087301585,25.793797348484848,26.057363505747126,26.380494791666667,26.166044560185185,26.547708333333333,26.7448828125,26.61153125,0,0.0013888888888888926,0.0010416666666666688,8.333333333333352e-4
518,2022-11-24,12:26:00,MOZ,688.1604426035495,2022-11-24T12:26:00Z,Mesas,M,12.4,M,26.529531249999998,27.05152462121212,27.032526041666667,26.997564102564102,26.904441964285713,26.834729166666666,26.7470703125,26.668314950980392,26.508738425925923,26.385104166666665,26.305505208333333,26.42565972222222,26.25891865079365,26.24740056818182,26.48103448275862,26.662604166666668,26.614794560185185,26.750885416666666,27.065520833333334,27.148791666666668,26.034895833333334,26.55620265151515,26.532760416666665,26.500072115384615,26.410424107142855,26.3405625,26.253984375,26.17363970588235,26.023072916666667,25.909155701754386,25.8335625,25.949513888888887,25.789632936507935,25.777713068181818,26.00097341954023,26.180442708333334,26.130312500000002,26.272864583333334,26.5810546875,26.65934375,0.015625,0.010416666666666652,0.008854166666666682,0.007083333333333309
521,2022-11-24,14:40:00,MEZ,618.2829102958711,2022-11-24T14:40:00Z,Mesas,F,20.4,Pregnant,26.529531249999998,27.05152462121212,27.032526041666667,26.997564102564102,26.904441964285713,26.834729166666666,26.7470703125,26.668314950980392,26.508738425925923,26.385104166666665,26.305505208333333,26.42565972222222,26.25891865079365,26.24740056818182,26.48103448275862,26.662604166666668,26.614794560185185,26.750885416666666,27.065520833333334,27.148791666666668,26.034895833333334,26.55620265151515,26.532760416666665,26.500072115384615,26.410424107142855,26.3405625,26.253984375,26.17363970588235,26.023072916666667,25.909155701754386,25.8335625,25.949513888888887,25.789632936507935,25.777713068181818,26.00097341954023,26.180442708333334,26.130312500000002,26.272864583333334,26.5810546875,26.65934375,0.015625,0.010416666666666652,0.008854166666666682,0.007083333333333309
522,2022-11-25,14:30:00,MON,265.91208438384456,2022-11-25T14:30:00Z,Mesas,F,4.8,juv,26.510989583333334,27.093986742424242,27.00939236111111,26.995096153846156,26.96530505952381,26.880541666666666,26.8166796875,26.735238970588235,26.661516203703705,26.510696271929824,26.393145833333335,26.535,26.316954365079365,26.271964962121213,26.431666666666665,26.455729166666668,26.593874421296295,26.745,26.900403645833332,27.090770833333334,26.02942708333333,26.604488636363637,26.51451388888889,26.49608173076923,26.468348214285715,26.386791666666667,26.3227734375,26.24233455882353,26.167100694444443,26.024802631578947,25.91649479166667,26.041909722222222,25.844151785714285,25.80173768939394,25.952262931034483,25.976119791666665,26.110517939814816,26.263472222222223,26.418138020833332,26.601791666666667,0.21249999999999988,0.14166666666666672,0.10625000000000036,0.08583333333333326
523,2022-11-29,12:13:00,MAY,156.28717633136077,2022-11-29T12:13:00Z,Mesas,F,3.9,juv,26.614583333333332,26.54592803030303,26.679765625,26.77108173076923,26.847261904761904,26.865854166666665,26.816666666666666,26.817071078431372,26.803790509259258,26.745372807017542,26.701041666666665,26.415243055555557,26.64062003968254,26.584602272727274,26.30251436781609,26.238489583333333,26.522254050925927,26.329322916666666,26.347109375,26.542395833333334,26.132552083333334,26.076761363636365,26.20802951388889,26.29658653846154,26.36922619047619,26.386708333333335,26.332838541666668,26.329430147058822,26.317118055555554,26.260690789473685,26.21578125,25.952083333333334,26.15575892857143,26.098139204545454,25.831318247126436,25.7878125,26.044759837962964,25.868350694444445,25.881966145833335,26.073208333333334,0.003125000000000005,0.02916666666666661,0.022916666666666648,0.09708333333333324
524,2022-11-29,12:47:00,MUS,197.42924852070985,2022-11-29T12:47:00Z,Mesas,F,4.7,juv,26.614583333333332,26.54592803030303,26.679765625,26.77108173076923,26.847261904761904,26.865854166666665,26.816666666666666,26.817071078431372,26.803790509259258,26.745372807017542,26.701041666666665,26.415243055555557,26.64062003968254,26.584602272727274,26.30251436781609,26.238489583333333,26.522254050925927,26.329322916666666,26.347109375,26.542395833333334,26.132552083333334,26.076761363636365,26.20802951388889,26.29658653846154,26.36922619047619,26.386708333333335,26.332838541666668,26.329430147058822,26.317118055555554,26.260690789473685,26.21578125,25.952083333333334,26.15575892857143,26.098139204545454,25.831318247126436,25.7878125,26.044759837962964,25.868350694444445,25.881966145833335,26.073208333333334,0.003125000000000005,0.02916666666666661,0.022916666666666648,0.09708333333333324
525,2022-11-29,14:06:00,MAY,126.75622753451694,2022-11-29T14:06:00Z,Mesas,F,3.9,juv,26.614583333333332,26.54592803030303,26.679765625,26.77108173076923,26.847261904761904,26.865854166666665,26.816666666666666,26.817071078431372,26.803790509259258,26.745372807017542,26.701041666666665,26.415243055555557,26.64062003968254,26.584602272727274,26.30251436781609,26.238489583333333,26.522254050925927,26.329322916666666,26.347109375,26.542395833333334,26.132552083333334,26.076761363636365,26.20802951388889,26.29658653846154,26.36922619047619,26.386708333333335,26.332838541666668,26.329430147058822,26.317118055555554,26.260690789473685,26.21578125,25.952083333333334,26.15575892857143,26.098139204545454,25.831318247126436,25.7878125,26.044759837962964,25.868350694444445,25.881966145833335,26.073208333333334,0.003125000000000005,0.02916666666666661,0.022916666666666648,0.09708333333333324
526,2022-12-01,08:48:00,MUS,565.1633382248514,2022-12-01T08:48:00Z,Mesas,F,4.7,juv,26.92671875,26.545795454545456,26.606449652777776,26.60451121794872,26.715044642857144,26.791833333333333,26.857194010416666,26.87301470588235,26.828894675925927,26.828612938596493,26.81608333333333,26.814930555555556,26.76264384920635,26.721557765151516,26.30331537356322,26.770651041666667,26.48064814814815,26.467899305555555,26.478671875,26.46303125,26.439010416666665,26.073361742424243,26.13417534722222,26.13249198717949,26.241026785714286,26.31557638888889,26.37794921875,26.39286151960784,26.344635416666666,26.3409649122807,26.329307291666666,26.3278125,26.277673611111112,26.23607481060606,25.834306752873562,26.28578125,26.003151041666666,26.004878472222224,26.011015625,25.993375,0.0072916666666666555,0.00486111111111112,0.0052083333333333304,0.020416666666666604
527,2022-12-01,11:15:00,MOZ,225.24625798817377,2022-12-01T11:15:00Z,Mesas,M,12.4,M,26.92671875,26.545795454545456,26.606449652777776,26.60451121794872,26.715044642857144,26.791833333333333,26.857194010416666,26.87301470588235,26.828894675925927,26.828612938596493,26.81608333333333,26.814930555555556,26.76264384920635,26.721557765151516,26.30331537356322,26.770651041666667,26.48064814814815,26.467899305555555,26.478671875,26.46303125,26.439010416666665,26.073361742424243,26.13417534722222,26.13249198717949,26.241026785714286,26.31557638888889,26.37794921875,26.39286151960784,26.344635416666666,26.3409649122807,26.329307291666666,26.3278125,26.277673611111112,26.23607481060606,25.834306752873562,26.28578125,26.003151041666666,26.004878472222224,26.011015625,25.993375,0.0072916666666666555,0.00486111111111112,0.0052083333333333304,0.020416666666666604
529,2022-12-05,14:18:00,TRU,789.3083158072812,2022-12-05T14:18:00Z,Tenori,F,15.4,Cycling,26.792083333333334,26.686534090909092,26.668993055555557,26.662379807692307,26.63063244047619,26.680152777777778,26.71724609375,26.709246323529413,26.78939814814815,26.846107456140352,26.895682291666667,26.870416666666667,26.906656746031747,26.869029356060604,26.57617816091954,27.049635416666668,26.43333622685185,27.008663194444445,26.910143229166668,26.70059375,26.283072916666665,26.19998106060606,26.18355902777778,26.174583333333334,26.146309523809524,26.194770833333333,26.23279296875,26.225704656862746,26.30494212962963,26.36043311403509,26.408088541666668,26.336631944444445,26.418725198412698,26.378091856060607,26.090176005747125,26.528645833333332,25.954366319444446,26.49876736111111,26.407213541666668,26.214385416666666,0,0,0,0
531,2022-12-06,16:25:00,PRA,810.2510377474007,2022-12-06T16:25:00Z,Palmas,F,8,Cycling,27.012447916666666,26.76994318181818,26.751276041666667,26.730104166666667,26.719598214285714,26.686152777777778,26.729108072916667,26.761139705882353,26.751145833333332,26.824873903508774,26.876973958333334,27.015868055555554,26.922718253968252,26.931964962121214,26.70264367816092,27.018671875,26.452453703703704,27.23878472222222,27.013346354166668,26.876114583333333,26.533229166666665,26.287310606060608,26.268029513888887,26.247636217948717,26.23472470238095,26.204326388888887,26.2461328125,26.278897058823528,26.269641203703703,26.342395833333335,26.393239583333333,26.527569444444445,26.43706349206349,26.44589962121212,26.212697557471266,26.506614583333334,25.975483217592593,26.7378125,26.514322916666668,26.386541666666666,0,0,0,0
532,2022-12-06,15:47:00,TES,966.0294059171946,2022-12-06T15:47:00Z,Tenori,F,18.4,Lactating,27.012447916666666,26.76994318181818,26.751276041666667,26.730104166666667,26.719598214285714,26.686152777777778,26.729108072916667,26.761139705882353,26.751145833333332,26.824873903508774,26.876973958333334,27.015868055555554,26.922718253968252,26.931964962121214,26.70264367816092,27.018671875,26.452453703703704,27.23878472222222,27.013346354166668,26.876114583333333,26.533229166666665,26.287310606060608,26.268029513888887,26.247636217948717,26.23472470238095,26.204326388888887,26.2461328125,26.278897058823528,26.269641203703703,26.342395833333335,26.393239583333333,26.527569444444445,26.43706349206349,26.44589962121212,26.212697557471266,26.506614583333334,25.975483217592593,26.7378125,26.514322916666668,26.386541666666666,0,0,0,0
